Title Paper,Author,Citations,Jounral  / Conference Ranking,Date,Type,Reviews,,,,,,,,,
A Comprehensive Survey on Legal Summarization: Challenges and Future Directions,"Mousumi Akter, Erion Çano, Erik Weber, Dennis Dobler, Ivan Habernal",17,Q1 (ACM Survey / arXiv),2025-12-10,Review,"Systematic survey of over 120 legal summarization studies in the transformer era. Reviews datasets, extractive/abstractive/hybrid methods, and evaluation metrics. Identifies key gaps such as lack of multi-reference summaries, over-reliance on ROUGE, hallucination risks, and absence of user-specific and explainable legal summaries",,,,,,,,,
LegalViz: Legal Text Visualization by Text-to-Diagram Generation,"E. Onami, T. Miyanishi, K. Maeda, S. Kurita",3,arXiv (Target: Visualization / AI Conference),2025-02-13,Research,"Proposes LegalViz, a framework that converts legal text into structured diagrams using Graphviz DOT, focusing on identifying legal entities, rules, statements, and transactions. Demonstrates how diagram-based representations can improve structural understanding of complex legal documents.",,,,,,,,,
Research Challenges for Legal Document Summarization,"Nikita, Dipti P. Rana, Rupa G. Mehta",4,IEEE Conference (AIC 2023),2023-07-29,Review,"Reviews traditional, machine-learning, and transformer-based legal summarization methods using Indian legal judgments. Conducts a comparative study of TextRank, LexRank, LSA, BERT, GPT-2, and XLNet using BERTScore. Identifies key challenges such as unstructured and multilingual legal documents, lack of labeled data, hallucination in neural models, difficulty in rhetorical role identification, and limited reliability of evaluation metrics for legal summaries",,,,,,,,,
Large Language Models in Law: A Survey,"Jinqi Lai, Wensheng Gan, Jiayang Wu, Zhenlian Qi, Philip S. Yu",225,Q1 (AI Open – Elsevier),2024-10-17,Review,"Comprehensive survey of legal large language models (LLMs). Covers evolution of AI in law, key technologies (Transformers, GPT, BERT), applications such as legal consultation, judgment assistance, document generation, and smart courts. Discusses challenges including data privacy, bias, explainability, ethics, and judicial reliability, and outlines future research directions for legal LLMs.",,,,,,,,,
Text-to-Viz: Automatic Generation of Infographics from Proportion-Related Natural Language Statements,"Weiwei Cui, Xiaoyu Zhang, Yun Wang, He Huang, Bei Chen, Lei Fang, Haidong Zhang, Jian-Guan Lou, Dongmei Zhang",187,Q1 (IEEE Transactions on Visualization and Computer Graphics),2019-08-26,Research,"Proposes an automatic system that converts proportion-related natural language statements into professional infographics. Uses NLP (CNN + CRF) to extract key information and generates visual layouts, graphics, and color themes automatically. Focuses on usability for non-designers and demonstrates effectiveness through user studies and expert evaluations.",,,,,,,,,
Can ChatGPT Perform Reasoning Using the IRAC Method in Analyzing Legal Scenarios Like a Lawyer,"Xiaoxi Kang, Lizhen Qu, Lay-Ki Soon, Adnan Trakic, Terry Yue Zhuo, Patrick Charles Emerton, Genevieve Grant",144,Findings of the Association for Computational Linguistics: EMNLP 2023,"December 6–10, 2023",Research (Conference),Evaluates ChatGPT’s legal reasoning using the IRAC framework and shows that structured prompts and reasoning steps significantly improve alignment with human legal analysis.,,,,,,,,,
LEGAL-BERT: The Muppets straight out of Law School,"Ilias Chalkidis, Manos Fergadiotis, Prodromos Malakasiotis, Nikolaos Aletras, Ion Androutsopoulos",1443,Findings of the Association for Computational Linguistics: EMNLP 2020 (ACL EMNLP Short Papers – top NLP conference/venue),"November 16 - 20, 2020.",Research (Conference),"Introduces LEGAL-BERT, a family of BERT models adapted for legal NLP. Proposes domain-specific pre-training strategies and evaluates fine-tuning on multiple downstream legal tasks, showing that legal-specific pre-training improves performance over generic BERT models.",,,,,,,,,
Efficient Finetuning of Quantized LLMs,"Tim Dettmers, Artidoro Pagnoni, Ari Holtzman, Luke Zettlemoyer",4819,NeurIPS 2023 (Conference) – Top-tier machine learning conference,2023-05-23,Research (Conference),"Introduces QLoRA, a method combining 4-bit quantization with low-rank adapters (LoRA) to enable efficient fine-tuning of very large language models (e.g., up to 65B parameters) on a single GPU without significant performance loss. Demonstrates state-of-the-art performance on instruction-following benchmarks and shows QLoRA can train large models with high efficiency.",,,,,,,,,
Legal Prompt Engineering for Multilingual Legal Judgement Prediction,"Dietrich Trautmann, Alina Petrova, Frank Schilder",112,arXiv Preprint (no formal peer-reviewed venue),2022-12-05,Research (Preprint),"Investigates legal prompt engineering (LPE) for zero-shot legal judgment prediction in multilingual datasets (European Court of Human Rights and Swiss Federal Supreme Court), showing that engineered prompts help LLMs perform better than baselines, though still below supervised methods.",,,,,,,,,
Explaining Legal Concepts with Augmented Large Language Models (GPT-4),"Jaromir Savelka, Kevin D. Ashley, Morgan A. Gray, Hannes Westermann, Huihui Xu",83,arXiv Preprint (no formal peer-reviewed venue),2023-06-15,Research (Preprint),"Evaluates GPT-4’s ability to explain legal concepts using contextual augmentation from case law: compares direct GPT-4 explanations vs retrieval-augmented methods, finds augmentation improves factual accuracy and reduces hallucinations.",,,,,,,,,
Automated Detection of Unfair Clauses in Online Consumer Contracts,"Lippi, M., Pa?ka, P., Contissa, G., et al.",250,Q1 (Journal: Artificial Intelligence and Law),2019 (Journal) / 2017 (Conf),Research (Journal Article),"High Impact. This is the seminal paper for ""unfair clause detection."" It established the baseline for using NLP (SVMs/LSTMs) to flag risky clauses in legal documents.",,,,,,,,,
CUAD: An Expert-Annotated NLP Dataset for Legal Contract Review,"Hendrycks, D., Burns, C., et al.",500,Core A* (Conference: NeurIPS - Top Tier AI),2021,Research (Conference),"Essential Resource. The ""Gold Standard"" dataset paper. It proves the validity of using expert-labeled clauses for training models, validating your own data collection method.",,,,,,,,,
Detecting and explaining unfairness in consumer contracts through memory networks,"Ruggeri, F., Lippi, M., & Torroni, P.",60,Q1 (Journal: Artificial Intelligence and Law),2022,Research (Journal Article),"Methodology Reference. Focuses on explainability (XAI). It reviews how ""Memory Networks"" can explain why a clause is risky, which supports your ""Bias Score"" logic.",,,,,,,,,
Gender bias in legal corpora and debiasing it,"Sener, A. O., Toroslu, I. H., & Karagoz, P.",20,Q2 (Journal: Natural Language Engineering),2022,Research (Journal Article),"Bias Component. Directly addresses your ""Bias"" objective. It reviews how word embeddings in legal texts contain inherent bias and proposes methods to ""de-bias"" them.",,,,,,,,,
Automated construction contract analysis for risk and responsibility assessment using NLP,"Shamshiri, M., et al.",5,Q1 (Journal: Automation in Construction - Impact Factor 9.6),2025 (April),Research (Journal Article),"State-of-the-Art. A very recent (2025) study. It reviews the use of LLMs and NLP for allocating risk and responsibility, directly mapping to your ""Risk Evaluator"" component.",,,,,,,,,
Foundations of Modern Query Languages for Graph Databases.,"Renzo Angles, Marcelo Arenas, Pablo Barcelo, Aidan Hogan, Juan Reutter, Domagoj Vrgoc",628,ACM Computing Surveys (CSUR),2016-10-20,Review / Survey,"Provides a comprehensive survey of modern graph query languages, including SPARQL, Cypher, and Gremlin. Analyzes their formal foundations, expressiveness, and query semantics for graph databases.",,,,,,,,,
Knowledge Graphs,"Hogan, A., Blomqvist, E., Cochez, M.",2948,ACM Computing Surveys (CSUR),2021-07-02,Review (Survey Article),"Provides a comprehensive survey of knowledge graphs, covering graph-based data models, representation techniques, query languages, extraction and enrichment methods, and future research directions.",,,,,,,,,
Survey on legal information extraction,"Premasiri, D., Ranasinghe, T., Mitkov, R",2,Q1 Journal in Computer Science & Information Systems,2025-10-10,Review / Survey Article,"Presents a comprehensive survey of legal information extraction (NER, relation extraction, event detection) in legal documents and identifies challenges and future research directions in legal NLP.",,,,,,,,,
Entity Resolution in the Web of Data,"Vassilis Christophides (University of Crete), Vasilis Efthymiou (University of Crete), Kostas Stefanidi (ICS-Forth)",18,Morgan & Claypool Publishers,15-Jul,Review / Survey (Book),"Presents foundational concepts and challenges of entity resolution on Web-scale graph data, including similarity measures, blocking strategies, and workflows. Covers a broad spectrum of ER topics and serves as a survey/academic reference.",,,,,,,,,
An Evolving Query Language for Property Graphs,N Francis,997,SIGMOD 2018 (ACM International Conference on Management of Data),2018-05-27,Research (Conference),"Describes the evolution of the Cypher property graph query language, including its formal semantics, pattern matching features, and extensions toward standardization and compositional querying. ",,,,,,,,,
